1	Date	Session	Campaign	System	Time														
22	45635.0	S1: Milk	SUB_URBIA	Kids on Bikes [1e]	0.21597222222222223		bloodletting	11	1.915277778		Kids on Bikes [1e]	6	0	0	6	1.086111111		bloodletting	Mothership [1e]
23	45639.0	Stoon Lake, Minnesota	Skunks	Unknown Armies [2e]	0.22916666666666666		50 Fathoms	5	0.7368055556		DC20	8	0	0	8	1.416666667		50 Fathoms	Dungeons & Dragons [0e]
24	45642.0	Rotblack Sludge	One-Shot	MÖRK BORG	0.20833333333333334		TBD	1	0.1631944444		MÖRK BORG	2	0	0	2	0.3541666667		TBD	Dread
25	45656.0	S2: Meat	SUB_URBIA	Kids on Bikes [1e]	0.18263888888888888		Predator: Savage Planet	1	0.1527777778		Unknown Armies [2e]	8	0	4	4	1.786805556		Predator: Savage Planet	Something Is Wrong With This House
26	45663.0	S0: Hath The Locust Eaten	The Parthenogenesis of Hungry Hollow	Liminal Horror	0.16180555555555556		Vampire: the Masquerade [5e]					1	0	0	1	0.1875		Call of Cthulhu [5e]
27	45674.0	Geverlon, Maine	Skunks	Unknown Armies [2e]	0.2708333333333333		Liminal Horror					14	0	13	1	2.414583333		Ghostbusters
28	45677.0	S1: A Time to Rend	The Parthenogenesis of Hungry Hollow	Liminal Horror	0.18680555555555556		Everyone is John					1	0	0	1	0.1041666667		Glitter Hearts
29	45686.0	Les Marins de la Mer Éteinte	Donjons & Catacombes Classique	Dungeon Crawl Classics	0.18055555555555555		Dungeon Crawl Classics					2	0	2	0	0.3090277778		Jim Henson's Labyrinth
30	45693.0	The Wolf (I)	One-Shot	To Change	0.07777777777777778		To Change					4	0	4	0	0.5819444444		i'm sorry did you say street magic
31	45693.0	S2: Drop As The Honeycomb	The Parthenogenesis of Hungry Hollow	Liminal Horror	0.2263888888888889		They Feed on Fear					3	0	3	0	0.4868055556		Eat the Reich
32	45700.0	The Wolf (II)	One-Shot	To Change	0.1527777777777778		Mausritter					1	0	1	0	0.1041666667		Grandpa's Farm
33	45707.0	S3: For the Life of the Flesh Is In the Blood	The Parthenogenesis of Hungry Hollow	Liminal Horror	0.23402777777777778		Mothership [1e]					19	1	18	0	3.202083333		Liminal Horror [PE]
34	45709.0	Chicago, Illinois	Skunks	Unknown Armies [2e]	0.2708333333333333		Dread					1	0	1	0	0.2256944444		Yazeba's Bed & Breakfast
35	45716.0	The Pink Stuff	One-Shot	To Change	0.18472222222222223				Something Is Wrong With This House			1	0	1	0	0.1416666667		Chronicles of Darkness [VTR]
36	45726.0	Le Peuple de la Fosse, Chapitre 1	Donjons & Catacombes Classique	Dungeon Crawl Classics	0.1284722222222222				Call of Cthulhu [5e]			1	0	1	0	0.1763888889		Savage Worlds [Deluxe]
37	45729.0	His Arrival Was Foretold	One-Shot	Liminal Horror	0.18888888888888888				Ghostbusters			1	0	1	0	0.16875		CBR+PNK
38	45735.0	S4: And Then Shall The End Come	The Parthenogenesis of Hungry Hollow	Liminal Horror	0.13680555555555557		Star Crossed					1	1	0	0	0.1472222222		Star Crossed
39	45738.0	Anchorage, Alaska	Skunks	Unknown Armies [2e]	0.21597222222222223														
40	45742.0	His Arrival Was Foretold	One-Shot	Liminal Horror	0.20277777777777778														
41	45749.0	Blood Heat	One-Shot	They Feed on Fear	0.1840277777777778														
42	45750.0	Blood Heat	One-Shot	They Feed on Fear	0.14652777777777778														
43	45771.0	Greetings From Sunvale!	One-Shot	They Feed on Fear	0.15625														
44	45774.0	Cleveland, Ohio	Skunks	Unknown Armies [2e]	0.19583333333333333														
45	45784.0	Mutantpocalypse: Are We Not Men?	One-Shot	Monster of the Week [2e]	0.24444444444444444														
46	45791.0	Wildform V	One-Shot	To Change	0.16666666666666666														
47	45794.0	Le Réveil du Manoir Willowby	One-Shot	Knave [2e]	0.21875														
48	45801.0	Ripple	One-Shot	Kids on Bikes [2e]	0.19791666666666666														
49	45805.0	Honey in the Rafters	One-Shot	Mausritter	0.10416666666666667														
50	45828.0	Here it Comes	Gradient Descent	Mothership [1e]	0.12916666666666668														
51	45834.0	We'd Really Love to Believe You	Gradient Descent	Mothership [1e]	0.1451388888888889														
52	45840.0	I Am Not Going Back	Gradient Descent	Mothership [1e]	0.1763888888888889														
53	45847.0	Il Mondo Dei Perduti	Mondo Carne	Mothership [1e]	0.17916666666666667														
54	45862.0	The Undoing of Brea Gibney	The Blooming of Hungry Hollow	Liminal Horror	0.1736111111111111														
55	45866.0	Fond-des-Chicots, Chapitre 1	P'tite Arcadie	Dungeons & Dragons [0e]	0.15555555555555556														
56	45868.0	Rust In My Brain	Gradient Descent	Mothership [1e]	0.1597222222222222														
57	45872.0	Year of the Rat	One-Shot	Mothership [1e]	0.12708333333333333														
58	45875.0	Save Yourself The Pain	Gradient Descent	Mothership [1e]	0.19930555555555557														
59	45882.0	I Never Cared Before	Gradient Descent	Mothership [1e]	0.19583333333333333														
60	45889.0	The Dust Settles, The Worms Dig	Gradient Descent	Mothership [1e]	0.19375														
61	45893.0	Il Segugio Infernale della  Terza Dimensione	Mondo Carne	Mothership [1e]	0.16458333333333333														
62	45894.0	Fond-des-Chicots, Chapitre 2	P'tite Arcadie	Dungeons & Dragons [0e]	0.1597222222222222														
63	45896.0	We've Been Stitched Up	Gradient Descent	Mothership [1e]	0.18541666666666667														
64	45899.0	The Erasing of Brea Gibney	The Blooming of Hungry Hollow	Liminal Horror	0.15208333333333332														
65	45903.0	I Tumble Like a Clown	Gradient Descent	Mothership [1e]	0.16458333333333333														
66	45910.0	I Won't Be Around When You Really Need Me	Gradient Descent	Mothership [1e]	0.15208333333333332														
67	45911.0	Double Trouble at Skateland	Strange Adventures!	Kids on Bikes [2e]	0.23819444444444443														
68	45914.0	La Luna degli Uomini Dimenticati	Mondo Carne	Mothership [1e]	0.175														
69	45917.0	Come On And Break The Door Down	Gradient Descent	Mothership [1e]	0.15416666666666667														
70	45921.0	The Dreaming of Brea Gibney	The Blooming of Hungry Hollow	Liminal Horror	0.16944444444444445														
71	45924.0	So Much of Me Lies in Your Eyes	Gradient Descent	Mothership [1e]	0.16805555555555557														
72	45930.0	Fond-des-Chicots, Chapitre 3	P'tite Arcadie	Dungeons & Dragons [0e]	0.15763888888888888														
73	45947.0	A Thousand Moons	One-Shot	Dread	0.22569444444444445														
74	45949.0	Bound by the Raven	One-Shot	Liminal Horror	0.1673611111111111														
75	45952.0	Something Is Wrong With This House	One-Shot	Something Is Wrong With This House	0.14166666666666666														
76	45959.0	Uncle Timothy's Will	One-Shot	Call of Cthulhu [5e]	0.1763888888888889														
77	45967.0	The Real Ghostbusters of Los Angeles	One-Shot	Ghostbusters	0.16875														
78	45974.0	Strange Things Afoot at Circle Q	Strange Adventures!	Kids on Bikes [2e]	0.18888888888888888														
79	45977.0	???	Mondo Carne	Mothership [1e]	0.1597222222222222														
80	45978.0	Fond-des-Chicots, Chapitre 4	P'tite Arcadie	Dungeons & Dragons [0e]	0.15763888888888888														
81	45980.0	Rats! (Pt. 1)	The Heart of the Mystery	Glitter Hearts	0.16805555555555557														
82	45987.0	The Chair	One-Shot	Liminal Horror	0.20208333333333334														
83	46001.0	Rats! (Pt. 2)	The Heart of the Mystery	Glitter Hearts	0.22569444444444445														
84	46003.0	???	The Blooming of Hungry Hollow	Liminal Horror	0.06666666666666667														
85	46005.0	???	Mondo Carne	Mothership [1e]	0.175														
86	46010.0	Juice!	The Heart of the Mystery	Glitter Hearts	0.22569444444444445														
87	46026.0	Snowed In at Chanky Cheez	Strange Adventures!	Kids on Bikes [2e]	0.15069444444444444														
88	46029.0	Gnome!	The Heart of the Mystery	Glitter Hearts	0.16527777777777777														
89	46036.0	Flowers!	The Heart of the Mystery	Glitter Hearts	0.1486111111111111														
90	46037.0	Barkeep on the Borderlands	One-Shot	Knave [2e]	0.16666666666666666														
91	46040.0	Worm!	The Heart of the Mystery	Glitter Hearts	0.22291666666666668														
92	46057.0	Jim Henson's Labyrinth	One-Shot	Jim Henson's Labyrinth	0.25416666666666665														
93	46063.0	Lake Asibikaashi	Strange Adventures!	Kids on Bikes [2e]	0.20416666666666666														
94	46064.0	Vasca Villa	One-Shot	i'm sorry did you say street magic	0.16180555555555556														
95	46071.0	Eat the Reich, Part 1	One-Shot	Eat the Reich	0.14305555555555555														
96	46078.0	Eat the Reich, Part 2	One-Shot	Eat the Reich	0.24930555555555556														
97	46086.0	Bakto's Terifying Cuisine	One-Shot	Knave [2e]	0.28125														
98	46092.0	Copper Heart	One-Shot	Grandpa's Farm	0.20208333333333334														
99	46095.0	BloodFest '14	Strange Adventures!	Kids on Bikes [2e]	0.2125														
100	46099.0	This place sucks.	The Mall	Liminal Horror [PE]	0.21736111111111112														
101	46105.0	Another Rainy Day / The Witch's Missing Shadow	Yazeba's Bed & Breakfast	Yazeba's Bed & Breakfast	0.18055555555555555														
102	46111.0	Bloodletting (The Vampire Song)	bloodletting	Chronicles of Darkness [VTR]	0.19930555555555557														
103	46113.0	Sal Has Written a Play / The Breakfast Feast	Yazeba's Bed & Breakfast	Yazeba's Bed & Breakfast	0.16458333333333333														
104	46118.0	The Sky is a Poisonous Garden	bloodletting	Chronicles of Darkness [VTR]	0.17152777777777778														
105	46120.0	People are the worst.	The Mall	Liminal Horror [PE]	0.17569444444444443														
106	46125.0	Caroline	bloodletting	Chronicles of Darkness [VTR]	0.1951388888888889														
107	46127.0	I'm out of here.	The Mall	Liminal Horror [PE]	0.1840277777777778														
108	46132.0	The Darkening of the Light	bloodletting	Chronicles of Darkness [VTR]	0.16597222222222222														
109	46134.0	This is gonna hurt.	The Mall	Liminal Horror [PE]	0.18680555555555556														
110	46139.0	I Don't Need a Hero	bloodletting	Chronicles of Darkness [VTR]	0.16666666666666666														
111	46140.0	Fond-des-Chicots, Chapitre 5	P'tite Arcadie	Dungeons & Dragons [0e]	0.14583333333333334														
112	46141.0	Bernard Goes A-Guising	Yazeba's Bed & Breakfast	Yazeba's Bed & Breakfast	0.1111111111111111														
113	46148.0	Give me a break.	The Mall	Liminal Horror [PE]	0.15625														
114	46153.0	Days and Days	bloodletting	Chronicles of Darkness [VTR]	0.14583333333333334														
115	46155.0	Go to hell.	The Mall	Liminal Horror [PE]	0.14583333333333334														
116	46167.0	The Beast	bloodletting	Chronicles of Darkness [VTR]	0.1527777777777778														
117	46169.0	Ichor in the Walls / The Grand Bernard's Hotel	Yazeba's Bed & Breakfast	Yazeba's Bed & Breakfast	0.125														
118	46172.0	La fille de l'hiver	One-Shot	Knave [2e]	0.16666666666666666														
119	46174.0	Lullabye	bloodletting	Chronicles of Darkness [VTR]	0.14583333333333334														
120	46176.0	L'Ollonaise's Treasure, Chapter 1	50 Fathoms	Savage Worlds [Deluxe]	0.16666666666666666														
121	46177.0	The Welling House	TBD	Monster of the Week [2e]	0.16319444444444445														
122	46181.0	Mind the Gap	One-Shot	CBR+PNK	0.1597222222222222														
123	46183.0	L'Ollonaise's Treasure, Chapter 2	50 Fathoms	Savage Worlds [Deluxe]	0.1423611111111111														
124	46188.0	Joey	bloodletting	Chronicles of Darkness [VTR]	0.2														
125	46220.0	L'Ollonaise's Treasure, Chapter 3	50 Fathoms	Savage Worlds [Deluxe]	0.125														
126	46224.0	Tomorrow, Wendy	bloodletting	Chronicles of Darkness [VTR]	0.20625														
127	46225.0	L'Ollonaise's Treasure, Chapter 4	50 Fathoms	Savage Worlds [Deluxe]	0.13125														
128	46232.0	Ollie Ollie Oxenfree / After Dinner	Yazeba's Bed & Breakfast	Yazeba's Bed & Breakfast	0.18125														
129	46237.0	Bloodletting (The Vampire Song)	bloodletting	Chronicles of Darkness [VTR]	0.16597222222222222														
130	46239.0	L'Ollonaise's Treasure, Chapter 5	50 Fathoms	Savage Worlds [Deluxe]	0.17152777777777778														
131	46244.0	ONI	One-Shot	Mothership [1e]	0.19791666666666666														
132	46246.0	Alphonse & Aria	One-Shot	Star Crossed	0.14722222222222223														
133	46251.0	Act 1	Predator: Savage Planet	Savage Worlds [Deluxe]	0.1527777777777778														
